"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MANUFACTURER";"MPN";
"D2";"RED";"LED0603";"LED-0603";"LED";"160-1447-1-ND";"Lite-On";"LTST-C191KRKT";
"J1";"";"M04PTH";"1X04";"Header 4";"WM8086-ND";"Molex";"0901200764";
"J2";"";"M04PTH";"1X04";"Header 4";"WM8086-ND";"Molex";"0901200764";
"J3";"SIGNPOST_DEBUG_HEADERSMT";"SIGNPOST_DEBUG_HEADERSMT";"SIGNPOST_DEBUG_HEADER_SMT";"The 8 Pin signpost Debug Header";"WM17450-ND";"Molex";"0015912080";
"J4";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"SIGNPOST_MODULE_HEADER";"The 14 pin signpost module header";"S9170-ND";"Sullins Connector";"SBH11-PBPC-D07-ST-BK";
"J5";"TC2030-JLINK-L";"TC2030-JLINK-L";"TC2030-IDC";"";"";"";"";
"L1";"2.2uH";"INDUCTORIHL";"IHL-1212BZ-11";"A very specific inductor";"541-1322-1-ND";"Vishay Dale";"IHLP1212BZER2R2M11";
"Q1";"SI223DDS";"SI223DDS";"SOT23-3";"6A SOT-23 P Fet";"SI2333DDS-T1-GE3CT-ND";"Vishay Siliconix";"SI2333DDS-T1-GE3";
"R1";"DNP - 0";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-0.0JRCT-ND";"Yageo";"RC0402JR-070RL";
"R2";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-1.0KJRCT-ND";"Yageo";"RC0402JR-071KL";
"R3";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-1.0KJRCT-ND";"Yageo";"RC0402JR-071KL";
"R4";"1k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-100KLRCT-ND";"Yageo";"RC0402FR-07100KL";
"R5";"10k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-1.0KJRCT-ND";"Yageo";"RC0402JR-071KL";
"R6";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-100KLRCT-ND";"Yageo";"RC0402FR-07100KL";
"R7";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-100KLRCT-ND";"Yageo";"RC0402FR-07100KL";
"R8";"100k";"RESISTOR0402_RES";"0402_RES";"Resistor";"311-100KLRCT-ND";"Yageo";"RC0402FR-07100KL";
"R9";"100k";"RESISTOR0603_RES";"0603-RES";"Resistor";"311-100KGRCT-ND";"Yageo";"RC0603JR-07100KL";
"R10";"240k";"RESISTOR0603_RES";"0603-RES";"Resistor";"311-240KGRCT-ND";"Yageo";"RC0603JR-07240KL";
"R11";"750k";"RESISTOR0603_RES";"0603-RES";"Resistor";"311-750KGRCT-ND";"Yageo";"311-750KGRCT-ND";
"S1";"B3U-1000P";"B3U-1000P";"B3U-1000P";"Switch";"SW1020CT-ND";"Omron";"B3U-1000P";
"U1";"MWSUB3G";"MWSUB3G";"MWSUB3G";"An RF Spectrum analyzer module";"";"RFExplorer";"MWSUB3G";
"U2";"SKY13317";"SKY13317";"XDFN-8";"20-6000 MHZ SP3T RF Switch";"863-1056-1-ND";"Skworks Solutions";"SKY13317-373LF";
"U3";"STM32L432KC";"STM32L432KC";"UQFN-32";"Simple STM32 Cortex M4. Features include a fast 32bit timer, 2 spi, 2 i2c, 2usart, hardware aes and more.";"497-16578-ND";"STMicroelectronics";"STM32L432KCU6";
"U4";"TLV62130";"TLV62130";"TQFN-16/3MM";"High Efficient 3A switching step-down regulator. 1V-5V out, 4V-17V in.";"296-35978-1-ND";"Texas Instruments";"TLV62130RGTR";
"X1";"ABS05-32.768KHZ-T";"ABS05-32.768KHZ-T";"ABS05";"32.768kHz Crystal";"535-11899-1-ND";"Abracon";"ABS05-32.768KHZ-T";
